Japanese,English,Reading
スリッパ,slipper,スリッパ
スリップ,slip,スリップ
スリム,slim,スリム
スリム化,slimming down,スリムか
スリラー,"thriller (movie, story)",スリラー
スリリング,thrilling,スリリング
スリル,thrill,スリル
スルー,ignoring,スルー
スループット,throughput,スループット
スレート,slate,スレート
スレーブ,slave (device),スレーブ
スレッド,thread (of execution),スレッド
スレンダー,slender,スレンダー
スロー,slow,スロー
スローガン,slogan,スローガン
スロープ,slope,スロープ
スローモー,slow-moving person,スローモー
スローモーション,slow motion (video),スローモーション
スロット,slot,スロット
スロバキア,Slovakia,スロバキア
スロベニア,Slovenia,スロベニア
スワッピング,swapping,スワッピング
スワップ,swap,スワップ
スワップミート,swap meet,スワップミート
スワヒリ語,Swahili (language),スワヒリご
スワン,swan,スワン
ズートスーツ,zoot suit,ズートスーツ
ズーミング,zooming,ズーミング
ズーム,zoom,ズーム
ズームイン,zoom in,ズームイン
ズームレンズ,zoom lens,ズームレンズ
ズシン,thud,ズシン
ズッキーニ,zucchini,ズッキーニ
ズック,canvas,ズック
洋袴,trousers,ズボン
セーター,sweater,セーター
セーフ,safe,セーフ
セーフティードライブ,driving safely,セーフティードライブ
セーブ,saving (e.g. energy),セーブ
セーム革,chamois leather,セームがわ
セーラー服,sailor suit,セーラーふく
セール,sale,セール
セールス,sales,セールス
セールスアプローチ,sales approach,セールスアプローチ
セールスマン,salesman,セールスマン
セールス戦略,sales strategy,セールスせんりゃく
セイフティバント,bunt performed for a base hit,セイフティバント
セイラー,sailer,セイラー
セオリー,theory,セオリー
セカンダリー,secondary,セカンダリー
セカンド,second,セカンド
セキュリティ,security,セキュリティ
セキュリティホール,security hole,セキュリティホール
セクシー,sexy,セクシー
セクショニング,sectioning,セクショニング
セクション,section,セクション
セクター,sector,セクター
セクハラ,sexual harassment,セクハラ
セグメンテーション,segmentation,セグメンテーション
セグメント,segment,セグメント
セシウム,cesium (Cs),セシウム
セゾン,season,セゾン
セダン,sedan,セダン
セックス,sex,セックス
セッション,session,セッション
セッティング,setting,セッティング
セット,set (of things),セット
セットアップ,(initial) setup,セットアップ
セピア,sepia,セピア
セブン,seven,セブン
セブンイレブン,Seven-Eleven,セブンイレブン
セマフォ,semaphore,セマフォ
セマンティクス,semantics,セマンティクス
セマンティック,semantic,セマンティック
セミコロン,semicolon,セミコロン
セミコンダクタ,semiconductor,セミコンダクタ
セミナー,seminar,セミナー
セメント,cement,セメント
セラ,sera,セラ
セラー,seller,セラー
セラミック,ceramic,セラミック
セリウム,cerium (Ce),セリウム
セリフ,serif,セリフ
セル,cell,セル
塞爾維,Serbia,セルビア
セルフ,self-service,セルフ
セルフサービス,self-service,セルフサービス
セルフチェッキング,self-checking,セルフチェッキング
セルロース,cellulose,セルロース
セルロイド,celluloid,セルロイド
セレクション,selection,セレクション
セレクタ,selector,セレクタ
セレクト,select,セレクト
セレナーデ,serenade,セレナーデ
セレモニー,ceremony,セレモニー
セレン,selenium (Se),セレン
セロハンテープ,cellophane tape,セロハンテープ
セロリ,celery,セロリ
セン,stopper,セン
センサー,sensor,センサー
センス,"taste (in fashion, music, etc.)",センス
センセーショナル,sensational,センセーショナル
センセーション,sensation,センセーション
センター,centre,センター
センタリング,centering,センタリング
センチ,centimeter,センチ
センチメートル,centimeter,センチメートル
センチメンタル,sentimental,センチメンタル
仙,cent (monetary unit),セント
センド,send,センド
セヴンティーン,seventeen,セヴンティーン
ゼネコン,general contractor,ゼネコン
ゼネスト,general strike,ゼネスト
ゼネラルマネージャー,general manager,ゼネラルマネージャー
ゼミ,seminar,ゼミ
ゼラチン,gelatin,ゼラチン
ゼリー,jello,ゼリー
ゼロゼロセブン,007 (James Bond's code in the books and films),ゼロゼロセブン
ゼロックス,Xerox,ゼロックス
ゼロ次,zero-order,ゼロじ
ゼロ地点,ground zero,ゼロちてん
ソーイングセット,sewing kit,ソーイングセット
ソース,sauce,ソース
ソースコード,source code,ソースコード
ソースファイル,source file,ソースファイル
ソーセージ,sausage,ソーセージ
ソーティー,sortie,ソーティー
ソーティング,sorting,ソーティング
ソート,sorting,ソート
ソープ,soap,ソープ
ソープランド,soapland,ソープランド
ソアラ,soarer,ソアラ
ソウル,soul,ソウル
ソケット,socket,ソケット
ソサエティ,society,ソサエティ
ソーシャルワーカー,social worker,ソーシャルワーカー
ソックス,socks,ソックス
ソテー,saute,ソテー
ソナタ,sonata,ソナタ
ソネット,sonnet,ソネット
蘇維埃,soviet,ソビエト
ソファ,sofa,ソファ
ソフト,soft,ソフト
ソフトウェア,software,ソフトウェア
ソフトウェアスタック,software-stack,ソフトウェアスタック
ソフトクリーム,soft serve ice cream,ソフトクリーム
ソフトボール,softball,ソフトボール
ソプラノ,soprano,ソプラノ
ソユーズ,Soyuz (Russian spacecraft),ソユーズ
ソリスト,soloist,ソリスト
ソリッド,solid,ソリッド
ソル,solar day (esp. on planets other than Earth),ソル
ソロ,solo,ソロ
ソロアルバム,solo album,ソロアルバム
ソング,song,ソング
ソ連,Soviet Union,ソれん
ゾーン,zone,ゾーン
ゾロアスター,Zoroaster,ゾロアスター
ゾンビ,zombie,ゾンビ
ターゲット,target,ターゲット
ターバン,turban,ターバン
タービン,turbine,タービン
ターボ,turbo,ターボ
ターミナル,terminal,ターミナル
ターミナルビル,(airport) terminal building,ターミナルビル
ターミネータ,terminator,ターミネータ
ターム,term,ターム
タール,tar,タール
ターン,turn,ターン
タイ,tie,タイ
タイア,tire,タイア
タイアップ,tie-in,タイアップ
タイゲーム,tie game,タイゲーム
